price_inr,age_yr,mileage_km,transmission,color,engine_cc,seats,tank_size_l
1500000,4,31000,Automatic,Silver,999,5,50
1520000,4,14000,Manual,Brown,1997,4,57
1525000,4,14000,Manual,Black,1497,5,50
1575000,4,8519,Manual,Blue,1997,4,57
1625000,4,7900,Automatic,Silver,999,5,50
1625000,4,16000,Automatic,Red,1353,5,50
1650000,4,12000,Manual,White,1493,5,50
1698999,4,37500,Manual,Brown,2184,4,57
1700000,4,3813,Manual,Red,1997,4,57
1700000,4,14000,Automatic,Black,2184,4,57
1700000,4,17000,Manual,Silver,2184,4,57
1710000,4,4400,Automatic,Black,1997,4,57
1748999,4,25700,Manual,Black,1368,5,60
1750000,4,14000,Manual,Black,1582,5,60
1750000,4,17000,Manual,Black,1582,5,60
1750000,4,26000,Manual,White,1493,7,50
1750000,4,33000,Automatic,Black,1451,5,60
1764999,4,1942,Automatic,Red,1498,5,48
1800000,4,14500,Manual,Grey,2184,4,57
1800000,4,17000,Manual,Black,2184,4,57
1825000,4,45000,Automatic,White,1353,5,50
1848999,4,20000,Manual,White,1493,7,50
1850000,4,23280,Manual,Red,1997,6,57
1875000,4,10000,Automatic,Red,1451,6,60
1875000,4,21000,Automatic,Grey,1493,5,50
1875000,4,28000,Manual,White,1956,7,50
1889999,4,17000,Automatic,White,1451,5,60
1925000,4,19000,Automatic,Silver,1451,6,60
1930000,4,15000,Manual,Black,1956,5,50
1975000,4,7000,Automatic,Grey,1353,5,50
1975000,4,18500,Manual,Red,1956,5,60
2095000,4,23000,Manual,Red,1956,5,50
2140000,4,24000,Automatic,Grey,1999,6,50
2200000,4,32000,Manual,Green,2179,7,63
2251000,4,30229,Automatic,White,1956,5,50
2395000,4,13594,Automatic,Blue,1956,6,50
2700000,4,17000,Automatic,Blue,1368,5,60
2750000,4,34228,Manual,White,2393,8,55
2950000,4,38000,Automatic,White,1956,5,60
3000000,4,38000,Automatic,Purple,2393,7,55
3100000,4,29000,Manual,White,2393,7,55
3195000,4,21651,Automatic,Blue,1798,5,66
3199000,4,6900,Automatic,Brown,1798,5,66
3325000,4,13092,Automatic,White,1984,5,66
3375000,4,25000,Automatic,Silver,1984,7,60
3500000,4,7900,Automatic,Black,1996,6,75
3875000,4,12000,Automatic,Green,1998,5,47
3900000,4,8000,Automatic,Black,1995,5,63
3900000,4,41086,Automatic,White,1996,7,80
3950000,4,40000,Automatic,Silver,1996,6,75
3975000,4,9400,Automatic,Black,1996,7,80
3990000,4,12500,Automatic,White,1998,5,51
4100000,4,9000,Automatic,Blue,1332,5,43
4100000,4,19000,Automatic,White,1996,7,80
4150000,4,6000,Automatic,White,1332,5,43
4200000,4,5600,Automatic,Grey,1950,5,43
4200000,4,12321,Automatic,Black,1984,5,54
4250000,4,17000,Automatic,White,1798,5,63
4300000,4,60000,Automatic,White,2755,7,80
4475000,4,7100,Automatic,Orange,1995,5,63
4550000,4,24000,Automatic,White,1995,5,59
4950000,4,12400,Automatic,Blue,1991,5,66
4975000,4,2610,Automatic,White,1991,5,66
5800000,4,7935,Automatic,Brown,1984,5,73
5950000,4,35000,Automatic,Beige,1999,5,66.5
5975000,4,18000,Automatic,White,1995,5,67
6100000,4,24500,Automatic,Red,2993,5,68
6200000,4,39000,Automatic,White,1995,5,67
6500000,4,7500,Automatic,Black,1991,5,80
6500000,4,12000,Automatic,White,1999,5,57
