,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,3766.548115,3176.289357,2855.940189,3090.60701,3663.823188,4827.781731,5934.144711,7409.691307,8908.331766,8678.659225,11403.28213,13396.62436,12521.72135,12458.89121,12274.99397,8936.196618,8836.286526,10080.50928,9300.661649,9029.833267,7074.193783
China,959.3604314,1053.112314,1148.514257,1288.637491,1508.667916,1753.414192,2099.21943,2693.958732,3468.327063,3832.227457,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955
"Egypt, Arab Rep.",1366.092744,1295.137418,1116.828846,1031.275563,991.2556891,1104.803407,1298.979002,1547.741707,1896.215943,2161.639646,2455.081946,2590.643849,2996.067707,3025.525636,3133.391023,3306.981594,3270.628777,2395.103333,2484.703156,2962.98892,3511.11381
France,22340.59395,22331.79483,24144.5727,29479.52221,33644.92822,34696.37183,36431.56589,41486.19078,45464.81814,41728.08842,40694.82117,43929.78409,40863.58144,42669.17951,43148.04593,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606
United Kingdom,28280.92679,27906.5695,30077.74143,34442.68754,40366.88867,42104.78844,44512.45903,50397.6855,47396.12021,38744.13169,39598.95712,42109.64188,42497.3405,43426.29814,47439.61659,44964.39114,40985.23514,40572.12148,43203.81411,42662.53537,40201.68124
India,442.7502189,450.3579005,469.149929,544.1431335,624.2588265,710.4880804,801.6683537,1021.887077,992.5195849,1094.949746,1347.519391,1445.461275,1429.321995,1432.843975,1553.883961,1583.998159,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516
